Runway,Slot_date,Slot_time,Possible_delay,Delay,FlightID,0
92,2020-02-10,19:29:32,29,49,1,1
2,2018-04-24,22:48:19,58,81,2,2
29,2019-10-15,13:43:59,50,80,3,3
15,2018-01-24,04:44:42,45,96,4,4
24,2020-01-19,13:47:23,11,24,5,5
19,2016-10-22,12:48:36,51,33,6,6
63,2019-04-15,10:28:54,19,36,7,7
92,2018-10-29,11:20:33,32,29,8,8
59,2020-12-12,00:26:25,51,85,9,9
99,2020-11-19,19:11:20,45,69,10,10
81,2018-06-08,20:49:47,14,71,11,11
36,2019-10-03,11:11:37,36,99,12,12
26,2017-11-29,21:42:52,37,43,13,13
13,2018-07-01,15:24:35,15,17,14,14
24,2017-07-21,15:37:10,40,97,15,15
64,2020-10-11,00:22:32,28,25,16,16
83,2019-02-02,15:30:06,19,24,17,17
55,2018-01-30,08:16:13,50,27,18,18
5,2019-08-27,11:07:25,50,35,19,19
8,2017-03-04,05:58:06,41,79,20,20
37,2017-01-12,01:27:42,30,66,21,21
39,2016-09-23,15:59:42,20,83,22,22
85,2017-09-09,09:06:35,59,40,23,23
74,2017-11-10,00:17:11,28,37,24,24
9,2017-11-16,22:58:14,51,15,25,25
2,2016-09-24,00:10:08,22,25,26,26
16,2021-01-13,03:24:57,42,97,27,27
42,2017-02-06,13:59:25,11,53,28,28
29,2019-03-15,00:00:21,28,83,29,29
19,2018-02-03,00:18:02,42,77,30,30
47,2017-07-20,22:01:27,48,95,31,31
9,2019-09-17,12:18:49,38,28,32,32
75,2020-04-27,00:18:07,58,25,33,33
99,2021-01-21,11:51:57,55,92,34,34
54,2020-06-29,05:36:41,12,12,35,35
3,2016-10-22,01:12:51,40,69,36,36
99,2020-12-19,08:52:12,44,61,37,37
44,2018-02-02,05:36:55,56,59,38,38
56,2020-12-20,03:22:06,39,79,39,39
26,2020-06-14,22:31:34,10,70,40,40
67,2021-02-10,05:06:59,29,50,41,41
4,2021-04-21,05:05:43,57,56,42,42
9,2019-03-19,06:59:52,51,70,43,43
28,2018-05-21,02:43:18,35,23,44,44
98,2019-03-20,17:10:48,45,71,45,45
45,2018-04-11,08:00:07,15,60,46,46
87,2019-07-02,13:38:03,16,41,47,47
68,2018-10-21,14:40:44,40,35,48,48
18,2016-10-14,02:50:34,44,90,49,49
80,2018-10-11,14:51:57,21,19,50,50
68,2018-01-20,02:24:52,47,23,51,51
94,2019-08-05,17:13:49,47,39,52,52
66,2019-08-29,17:35:40,60,12,53,53
100,2019-11-09,06:33:05,55,86,54,54
65,2020-11-14,07:31:20,55,21,55,55
86,2017-12-22,19:09:30,12,21,56,56
35,2019-11-17,08:01:25,14,40,57,57
2,2017-08-31,02:47:55,47,43,58,58
10,2019-01-22,18:48:46,24,94,59,59
40,2016-07-21,05:23:45,48,100,60,60
38,2019-10-09,06:17:36,36,19,61,61
94,2016-09-09,07:10:09,20,74,62,62
27,2018-03-26,21:47:05,56,97,63,63
97,2019-05-30,13:13:03,45,24,64,64
27,2019-12-21,17:20:03,45,16,65,65
59,2020-09-26,11:24:56,41,87,66,66
73,2017-06-07,09:40:48,43,89,67,67
27,2016-06-21,07:31:05,26,49,68,68
19,2020-04-23,05:50:51,36,90,69,69
86,2019-07-06,00:09:07,51,43,70,70
75,2017-01-14,03:02:59,36,40,71,71
84,2018-12-09,09:12:35,30,64,72,72
6,2021-04-06,04:44:53,32,83,73,73
20,2020-06-19,04:47:01,53,81,74,74
49,2018-09-13,00:54:36,22,43,75,75
51,2017-09-07,07:14:46,29,94,76,76
56,2018-03-15,17:10:23,41,71,77,77
99,2019-08-15,03:55:03,23,84,78,78
81,2020-02-05,22:34:45,25,15,79,79
69,2017-10-24,06:09:37,53,97,80,80
86,2017-11-04,20:38:28,13,55,81,81
97,2019-11-08,18:25:53,56,47,82,82
48,2016-04-30,06:42:04,34,65,83,83
65,2020-10-16,23:38:32,19,44,84,84
82,2017-02-25,05:11:42,11,98,85,85
45,2018-03-09,09:43:21,36,50,86,86
74,2016-08-17,22:55:20,18,79,87,87
87,2016-06-19,10:15:09,14,63,88,88
81,2021-01-13,17:28:28,36,65,89,89
27,2018-02-27,05:54:25,41,62,90,90
42,2018-11-25,02:32:49,13,76,91,91
84,2017-01-19,03:24:07,19,58,92,92
55,2020-11-22,07:48:35,34,81,93,93
21,2018-03-21,09:05:46,41,77,94,94
46,2016-06-20,16:36:27,22,57,95,95
